region,lat,lon
CHAMPAGNE-ARDENNE,48.4845157,6.113035
ILE-DE-FRANCE,48.6443057,2.7537863
AUVERGNE,45.2968119,4.6604809
NORD-PAS-DE-CALAIS,50.1024606,2.7247515
PROVENCE-ALPES-COTE D'AZUR,44.0580563,6.0638506
LIMOUSIN,45.7175403,1.7406933
CENTRE,47.5490251,1.7324062
RHONE-ALPES,45.2968119,4.6604809
PICARDIE,50.1024606,2.7247515
AQUITAINE,45.4039367,0.3756199
CORSE,42.188089649999995,9.068413771427695
PAYS DE LA LOIRE,47.6594864,-0.8186143
POITOU-CHARENTES,45.4039367,0.3756199
BOURGOGNE,47.0510946,5.0740568
LORRAINE,48.4845157,6.113035
BRETAGNE,48.2640845,-2.9202408
FRANCHE-COMTE,47.0510946,5.0740568
GUYANE,4.0039882,-52.999998
ALSACE,48.4845157,6.113035
MAYOTTE,-12.823048,45.1520755
GUADELOUPE,16.2490067,-61.5650444
MARTINIQUE,14.6113732,-60.9620777
REUNION,-21.1309332,55.5265771
